Genre-URI,Genre-QCode (flat),Name (en-US),Definition (en-US),created,modified,Type,Genre-QCode (full),Name (en-GB),Definition (en-GB),Note (en-US),Note (en-GB),Change-Note (en-US),Change-Note (en-GB),retired,Scheme-URI
http://cv.iptc.org/newscodes/genre/Actuality,Actuality,Actuality,Recording of an event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Actuality,Actuality,Recording of an event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advertiser_Supplied,Advertiser_Supplied,Advertiser Supplied,Content is supplied by an organisation or individual that has paid the news provider for its placement,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advertiser_Supplied,Advertiser Supplied,Content is supplied by an organisation or individual that has paid the news provider for its placement,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advice,Advice,Advice,Letters and answers about readers' personal problems,2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advice,Advice,Letters and answers about readers' personal problems,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Advisory,Advisory,Advisory,Recommendation on editorial or technical matters by a provider to its customers,2012-10-04T12:00:00+00:00,2012-10-04T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Advisory,Advisory,Recommendation on editorial or technical matters by a provider to its customers,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Analysis,Analysis,Analysis,Data and conclusions drawn by a journalist who has conducted in depth research for a story,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Analysis,Analysis,Data and conclusions drawn by a journalist who has conducted in depth research for a story,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Anniversary,Anniversary,Anniversary,"Stories about the anniversary of some important event that took place in recent history, usually bringing a short review of the event itself. ",2003-06-12T02:00:00+00:00,2019-07-30T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Anniversary,Anniversary,"Stories about the anniversary of some important event that took place in recent history, usually bringing a short review of the event itself. ",,,,,2019-07-30T12:00:00+00:00,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Archive_material,Archive_material,Archival material,Material selected from the originator's archive that has been previously distributed,2000-10-06T02:00:00+00:00,2020-05-10T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Archive_material,Archival material,Material selected from the originator's archive that has been previously distributed,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Background,Background,Background,Scene setting and explanation for an event being reported,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Background,Background,Scene setting and explanation for an event being reported,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Behind_the_Story,Behind_the_Story,Behind the Story,The content describes how a story was reported and offers context on the reporting,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Behind_the_Story,Behind the Story,The content describes how a story was reported and offers context on the reporting,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Biography,Biography,Biography,Facts and background about a person,2012-10-04T12:00:00+00:00,2012-10-04T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Biography,Biography,Facts and background about a person,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Birth_Announcement,Birth_Announcement,Birth Announcement,News of newly born children,2019-07-30T12:00:00+00:00,2019-07-30T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Birth_Announcement,Birth Announcement,News of newly born children,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Current,Current,Current Events,Content about events taking place at the time of the report,2000-10-06T02:00:00+00:00,2020-05-10T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Current,Current Events,Content about events taking place at the time of the report,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Curtain_Raiser,Curtain_Raiser,Curtain Raiser,Information or kickoff piece for a live event that is about to take place,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Curtain_Raiser,Curtain Raiser,Information or kickoff piece for a live event that is about to take place,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Daybook,Daybook,Planner,"Items filed on a regular basis that are lists of upcoming events with time and place, designed to inform others of events for planning purposes, also known as daybook or agenda",2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Daybook,Planner,"Items filed on a regular basis that are lists of upcoming events with time and place, designed to inform others of events for planning purposes, also known as daybook or agenda",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Exclusive,Exclusive,Exclusive,"News reported by one journalist or news organisation before others, and of exceptional originality or importance",2002-07-15T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Exclusive,Exclusive,"News reported by one journalist or news organisation before others, and of exceptional originality or importance",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Fact_Check,Fact_Check,Fact Check,The news item looks into the truth or falsehood of another reported news item or assertion (for example a statement on social media by a public figure),2020-04-02T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Fact_Check,Fact Check,The news item looks into the truth or falsehood of another reported news item or assertion (for example a statement on social media by a public figure),,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Feature,Feature,Feature,Content about a particular event or individual that may not be significant to current breaking news,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Feature,Feature,Content about a particular event or individual that may not be significant to current breaking news,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Fixture,Fixture,Fixture,"Items published on a regular schedule, such as columns, cartoons, stock prices and weather forecasts",2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Fixture,Fixture,"Items published on a regular schedule, such as columns, cartoons, stock prices and weather forecasts",,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Forecast,Forecast,Forecast,Opinion as to the outcome of a future event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Forecast,Forecast,Opinion as to the outcome of a future event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/From_the_Scene,From_the_Scene,From the Scene,Report from the location of an event,2000-10-06T02:00:00+00:00,2010-12-15T22:10:01+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:From_the_Scene,From the Scene,Report from the location of an event,,,,,,http://cv.iptc.org/newscodes/genre/
http://cv.iptc.org/newscodes/genre/Help_Us_to_Report,Help_Us_to_Report,Help us to Report,The news item is a call for readers to provide information that may help journalists to investigate a potential news story,2020-04-07T12:00:00+00:00,2020-04-07T12:00:00+00:00,http://www.w3.org/2004/02/skos/core#Concept,genre:Help_Us_to_Report,Help us to Report,The news item is a call for readers to provide information that may help journalists to investigate a potential news story,,,,,,http://cv.iptc.org/newscodes/genre/
